game_season,game_match,game_league_match,game_date,game_kickoff,game_kickoff_type,game_opponents,game_venue,game_venue_type,game_competition,game_level,game_attendance,game_away_attendance,game_home_attendance,game_outcome,game_goals_for,game_goals_against,game_manager,game_division_position,game_pyramid_position,game_cumulative_points,game_p1,game_p1mins,game_p2,game_p2mins,game_p3,game_p3mins,game_p4,game_p4mins,game_p5,game_p5mins,game_p6,game_p6mins,game_p7,game_p7mins,game_p8,game_p8mins,game_p9,game_p9mins,game_p10,game_p10mins,game_p11,game_p11mins,game_s1,game_s1mins,game_s2,game_s2mins,game_s3,game_s3mins,game_s4,game_s4mins,game_s5,game_s5mins,game_s6,game_s6mins,game_s7,game_s7mins,game_s8,game_s8mins,game_s9,game_s9mins,game_goal1,game_goal2,game_goal3,game_goal4,game_goal5,game_goal6,game_goal7,game_goal8,game_yellow1,game_yellow2,game_yellow3,game_yellow4,game_yellow5,game_yellow6,game_red1,game_red2
19891990,1,NA,19890816,,,Hinckley Town,Leicester Road,1,MFC,4,253,NA,253,1,1,1,Jim Barron,NA,NA,NA,8911_Alan_Churchward,120,8917_Nick_Jordan,120,8928_Anton_Vircavs,120,8914_Richard_Crowley,120,8909_Chris_Burns,120,8930_Kevin_Willetts,120,8907_Steve_Brooks,45,8905_Mark_Boyland,120,8931_Phil_Williams,120,8923_Mickey_Nuttell,120,8916_Andy_Gray,120,8919_Jeff_Lissaman,45,9998_Missing_Name,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8923_Mickey_Nuttell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,2,1,19890826,,,Fisher Athletic,Whaddon Road,0,APL,5,2279,NA,2279,1,0,0,Jim Barron,14,106,1,8911_Alan_Churchward,90,8917_Nick_Jordan,90,8909_Chris_Burns,90,8914_Richard_Crowley,90,8928_Anton_Vircavs,90,8930_Kevin_Willetts,90,8905_Mark_Boyland,90,8931_Phil_Williams,90,8923_Mickey_Nuttell,90,8908_Mark_Buckland,90,8916_Andy_Gray,90,8901_Ray_Baverstock,0,8919_Jeff_Lissaman,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,3,2,19890828,,,Barnet,Underhill,1,APL,5,2545,NA,2545,0,0,4,Jim Barron,20,112,1,8911_Alan_Churchward,90,8917_Nick_Jordan,90,8909_Chris_Burns,90,8914_Richard_Crowley,90,8928_Anton_Vircavs,90,8930_Kevin_Willetts,90,8905_Mark_Boyland,90,8931_Phil_Williams,,8923_Mickey_Nuttell,90,8908_Mark_Buckland,90,8919_Jeff_Lissaman,90,8901_Ray_Baverstock,,9998_Missing_Name,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,4,NA,19890830,,,Bath City,Twerton Park,1,FAW,1,504,NA,504,1,1,1,Jim Barron,NA,NA,NA,8922_Dave_Mogg,90,8901_Ray_Baverstock,90,8912_David_Craig,90,8914_Richard_Crowley,90,8909_Chris_Burns,90,8930_Kevin_Willetts,90,8913_Steve_Crouch,90,8919_Jeff_Lissaman,90,8931_Phil_Williams,90,8923_Mickey_Nuttell,90,8905_Mark_Boyland,90,8917_Nick_Jordan,0,8929_Sean_Whelan,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8929_Sean_Whelan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,5,3,19890902,,,Runcorn,Canal Street,1,APL,5,886,NA,886,3,4,2,Jim Barron,11,103,4,8922_Dave_Mogg,90,8901_Ray_Baverstock,90,8909_Chris_Burns,90,8914_Richard_Crowley,90,8912_David_Craig,90,8913_Steve_Crouch,90,8917_Nick_Jordan,90,8905_Mark_Boyland,90,8923_Mickey_Nuttell,90,8908_Mark_Buckland,90,8931_Phil_Williams,90,8919_Jeff_Lissaman,0,8929_Sean_Whelan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8917_Nick_Jordan,8931_Phil_Williams,8923_Mickey_Nuttell,8905_Mark_Boyland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,6,NA,19890906,,,Bath City,Whaddon Road,0,FAW,1,645,NA,645,0,1,2,Jim Barron,NA,NA,NA,8911_Alan_Churchward,90,8901_Ray_Baverstock,90,8909_Chris_Burns,90,8912_David_Craig,90,8928_Anton_Vircavs,90,8929_Sean_Whelan,90,8917_Nick_Jordan,90,8905_Mark_Boyland,90,8923_Mickey_Nuttell,90,8919_Jeff_Lissaman,83,8931_Phil_Williams,90,8908_Mark_Buckland,7,8913_Steve_Crouch,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8931_Phil_Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,7,4,19890909,,,Barrow,Whaddon Road,0,APL,5,1502,NA,1502,3,1,0,Jim Barron,10,102,7,8922_Dave_Mogg,90,8908_Mark_Buckland,90,8909_Chris_Burns,90,8914_Richard_Crowley,90,8912_David_Craig,90,8913_Steve_Crouch,90,8907_Steve_Brooks,63,8917_Nick_Jordan,90,8931_Phil_Williams,90,8923_Mickey_Nuttell,90,8916_Andy_Gray,90,8905_Mark_Boyland,0,8919_Jeff_Lissaman,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8923_Mickey_Nuttell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,8,5,19890912,,,Telford United,Bucks Head,1,APL,5,1431,NA,1431,1,0,0,Jim Barron,10,102,8,8922_Dave_Mogg,90,8907_Steve_Brooks,90,8909_Chris_Burns,90,8914_Richard_Crowley,90,8912_David_Craig,90,8913_Steve_Crouch,90,8917_Nick_Jordan,90,8931_Phil_Williams,90,8923_Mickey_Nuttell,90,8908_Mark_Buckland,90,8916_Andy_Gray,45,8905_Mark_Boyland,45,8919_Jeff_Lissaman,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,9,NA,19890916,,,Saltash United,Whaddon Road,0,FAC,0.1,1190,NA,1190,3,1,0,Jim Barron,NA,NA,NA,8922_Dave_Mogg,90,8907_Steve_Brooks,90,8909_Chris_Burns,90,8914_Richard_Crowley,90,8912_David_Craig,90,8913_Steve_Crouch,90,8917_Nick_Jordan,90,8931_Phil_Williams,90,8923_Mickey_Nuttell,60,8908_Mark_Buckland,90,8916_Andy_Gray,90,8905_Mark_Boyland,30,8919_Jeff_Lissaman,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8905_Mark_Boyland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,10,6,19890920,,,Yeovil Town,Whaddon Road,0,APL,5,1573,NA,1573,3,2,1,Jim Barron,9,101,11,8922_Dave_Mogg,90,8907_Steve_Brooks,90,8909_Chris_Burns,90,8914_Richard_Crowley,90,8912_David_Craig,90,8913_Steve_Crouch,74,8917_Nick_Jordan,90,8931_Phil_Williams,90,8923_Mickey_Nuttell,53,8908_Mark_Buckland,90,8916_Andy_Gray,90,8905_Mark_Boyland,37,8919_Jeff_Lissaman,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8923_Mickey_Nuttell,8912_David_Craig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19891990,11,7,19890923,,,Altrincham,Moss Lane,1,APL,5,689,NA,689,0,0,5,Jim Barron,12,104,11,8922_Dave_Mogg,90,8907_Steve_Brooks,90,8909_Chris_Burns,90,8914_Richard_Crowley,90,8912_David_Craig,90,8913_Steve_Crouch,71,8917_Nick_Jordan,90,8931_Phil_Williams,64,8905_Mark_Boyland,90,8908_Mark_Buckland,90,8916_Andy_Gray,90,8919_Jeff_Lissaman,26,8929_Sean_Whelan,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
